group,male,female,male_deaths,female_deaths
1,42706,87664,0,2990
2,45592,89601,0,3079
3,48218,92134,0,3154
4,51160,94414,0,3248
5,53786,97180,0,3342
6,55825,101095,0,3454
7,58318,105141,0,3552
8,60654,109115,0,3796
9,62454,112884,0,3982
10,64364,117914,0,4256
11,66678,125169,0,4608
12,67999,127646,0,4713
13,69926,144499,0,5397
14,72299,155395,0,5812
15,75709,166748,0,6433
16,77763,180868,0,7119
17,80515,196396,0,7898
18,82987,214109,0,8726
19,84650,241858,0,9860
20,87095,271496,0,11292
21,91367,303795,0,12965
22,97574,336241,0,14643
23,98026,377523,0,16497
24,107675,417333,0,18615
25,113200,466941,0,21171
26,121553,528879,0,23960
27,130318,592579,0,27188
28,138818,659981,0,30642
29,148479,719428,0,33915
30,163963,781677,0,37572
31,177431,856775,0,42097
